City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
pangnirtung,66.15,-65.71,39.2,51,75,3.36,CA,1600443347
hithadhoo,-0.6,73.08,82.53,76,24,3.76,MV,1600443347
qaanaaq,77.48,-69.36,22.39,88,2,6.06,GL,1600443348
ushuaia,-54.8,-68.3,30.2,100,90,24.16,AR,1600443348
tyumentsevo,53.32,81.5,49.15,78,71,11.61,RU,1600443348
ribeira grande,38.52,-28.7,71.6,68,75,13.87,PT,1600443349
caravelas,-17.71,-39.25,81.84,56,14,11.36,BR,1600443349
mounana,-1.41,13.16,89.6,55,40,6.93,GA,1600443349
jurm,36.86,70.83,52.25,52,37,2.06,AF,1600443349
bredasdorp,-34.53,20.04,62.6,67,51,18.34,ZA,1600443350
pisco,-13.7,-76.22,60.8,87,90,4.7,PE,1600443350
saint-augustin,51.23,-58.65,52.9,41,88,12.91,CA,1600443350
east london,-33.02,27.91,62.6,82,20,24.16,ZA,1600443171
dikson,73.51,80.55,42.69,93,68,6.64,RU,1600443351
longyearbyen,78.22,15.64,39.2,93,75,3.36,SJ,1600443351
lagoa,39.05,-27.98,69.58,74,8,19.24,PT,1600443351
busselton,-33.65,115.33,55.0,57,58,15.93,AU,1600443085
dangara,29.68,75.89,89.17,40,27,4.34,IN,1600443352
siavonga,-16.54,28.71,87.67,27,0,3.98,ZM,1600443352
arraial do cabo,-22.97,-42.03,86.0,65,20,8.05,BR,1600443241
cizre,37.33,42.19,82.53,15,0,2.48,TR,1600443352
port alfred,-33.59,26.89,64.11,76,71,17.78,ZA,1600443352
albany,42.6,-73.97,61.0,59,48,7.94,US,1600443185
disna,55.57,28.2,50.4,69,11,8.81,BY,1600443353
port elizabeth,-33.92,25.57,62.6,72,66,21.92,ZA,1600443353
abu dhabi,24.47,54.37,93.2,63,0,6.93,AE,1600443295
narsaq,60.92,-46.05,37.4,92,75,5.82,GL,1600443354
hermanus,-34.42,19.23,60.01,79,71,3.0,ZA,1600443099
tasiilaq,65.61,-37.64,37.4,94,90,27.51,GL,1600443354
upernavik,72.79,-56.15,29.17,86,68,15.01,GL,1600443354
warrenton,-28.11,24.85,75.16,15,0,8.57,ZA,1600443354
tambopata,-12.73,-69.18,77.0,83,75,6.93,PE,1600443355
salalah,17.02,54.09,80.6,83,20,8.05,OM,1600443355
bergen,60.39,5.33,54.0,93,90,8.05,NO,1600443213
terra nova,-12.37,-40.67,77.0,57,20,4.7,BR,1600443257
victoria,22.29,114.16,82.99,87,100,16.31,HK,1600443305
najran,17.49,44.13,89.6,13,0,6.93,SA,1600443356
auce,56.46,22.9,54.46,66,1,7.31,LV,1600443356
mouila,-1.87,11.06,76.17,90,100,2.71,GA,1600443356
bathsheba,13.22,-59.52,89.6,62,40,11.41,BB,1600443356
maragogi,-9.01,-35.22,79.25,73,26,9.08,BR,1600443357
urucara,-2.54,-57.76,102.58,26,0,6.08,BR,1600443270
vila do maio,15.13,-23.22,86.0,74,75,6.93,CV,1600443357
puerto narino,-3.77,-70.38,89.6,66,75,2.24,CO,1600443357
rotterdam,51.92,4.48,72.0,43,57,14.99,NL,1600443357
stolin,51.89,26.85,54.36,64,97,7.14,BY,1600443066
saint-philippe,-21.36,55.77,71.6,68,40,17.22,RE,1600443358
mehamn,71.04,27.85,44.6,87,75,11.41,NO,1600443358
mahebourg,-20.41,57.7,71.6,64,40,6.93,MU,1600443358
gao,16.64,1.64,95.74,30,89,2.55,ML,1600443359
bonavista,48.65,-53.11,52.52,95,100,10.56,CA,1600443359
ginda,30.69,78.49,84.2,79,40,3.36,IN,1600443359
beloha,-25.17,45.05,71.15,69,0,8.7,MG,1600443359
mar del plata,-38.0,-57.56,60.8,31,3,16.11,AR,1600443360
cape town,-33.93,18.42,63.0,87,75,9.17,ZA,1600443066
georgetown,5.41,100.34,77.0,94,20,3.36,MY,1600443067
pokhara,28.23,83.98,71.56,83,100,0.83,NP,1600443360
nanortalik,60.14,-45.24,40.69,86,100,28.41,GL,1600443360
vardo,70.37,31.11,42.8,93,75,18.34,NO,1600443360
grindavik,63.84,-22.43,50.0,71,75,20.8,IS,1600443361
bonthe,7.53,-12.51,79.95,82,100,10.85,SL,1600443361
zletovo,41.99,22.24,80.6,42,40,5.82,MK,1600443361
chuy,-33.7,-53.46,67.55,64,0,8.75,UY,1600443361
lebu,-37.62,-73.65,51.94,65,7,18.05,CL,1600443362
los llanos de aridane,28.66,-17.92,78.8,65,40,9.17,ES,1600443362
taoudenni,22.68,-3.98,100.22,25,56,12.26,ML,1600443362
laguna,38.42,-121.42,64.0,82,1,5.82,US,1600443119
visby,57.64,18.3,62.01,67,0,14.99,SE,1600443362
tromso,69.65,18.96,48.2,76,75,25.28,NO,1600443274
fomboni,-12.28,43.74,77.7,70,0,7.11,KM,1600443363
wukari,7.85,9.78,85.64,72,67,1.86,NG,1600443363
shakawe,-18.37,21.85,88.47,22,66,2.08,BW,1600443364
kavaratti,10.57,72.64,81.46,81,84,20.02,IN,1600443364
fereydun kenar,36.69,52.52,80.6,65,0,2.24,IR,1600443364
carnarvon,-24.87,113.63,69.8,77,40,11.41,AU,1600443364
hambantota,6.12,81.12,77.0,100,75,9.17,LK,1600443364
torbay,47.67,-52.73,69.01,77,90,19.46,CA,1600443326
marsa matruh,31.35,27.25,84.2,66,40,10.29,EG,1600443365
say,13.1,2.37,89.6,55,20,3.09,NE,1600443365
jamestown,42.1,-79.24,57.99,76,90,9.17,US,1600443104
saint-pierre,-21.34,55.48,71.6,68,40,17.22,RE,1600443366
dondo,-19.61,34.74,78.01,78,0,10.29,MZ,1600443366
hualmay,-11.1,-77.61,67.19,64,41,8.01,PE,1600443366
codrington,-38.27,141.97,58.15,91,75,10.69,AU,1600443367
katete,-0.78,29.75,72.43,63,32,0.4,UG,1600443367
aksarka,66.56,67.8,45.01,83,100,14.61,RU,1600443367
balkanabat,39.51,54.37,76.14,18,0,19.17,TM,1600443367
antequera,37.02,-4.56,73.4,83,75,10.29,ES,1600443367
thompson,55.74,-97.86,39.2,60,75,4.72,CA,1600443368
coello,4.29,-74.9,86.14,58,72,2.39,CO,1600443368
tisnov,49.35,16.42,64.99,34,28,7.0,CZ,1600443368
ouro preto do oeste,-10.75,-62.22,101.32,19,56,4.45,BR,1600443277
teguise,29.06,-13.56,84.2,48,20,13.87,ES,1600443369
ponta do sol,32.67,-17.1,77.0,60,40,4.7,PT,1600443369
pontes e lacerda,-15.23,-59.34,107.83,14,5,4.18,BR,1600443369
berlevag,70.86,29.09,42.8,87,75,4.7,NO,1600443369
igarka,67.47,86.58,47.62,91,100,16.49,RU,1600443370
la plaine,15.33,-61.25,86.0,70,75,2.24,DM,1600443370
caraballeda,10.61,-66.85,82.0,45,20,2.44,VE,1600443370
ballina,-28.87,153.57,60.8,93,40,3.36,AU,1600443371
port shepstone,-30.74,30.45,68.2,86,0,11.01,ZA,1600443371
carlisle,40.2,-77.19,66.99,57,75,4.0,US,1600443209
llanes,43.42,-4.75,79.0,63,5,6.08,ES,1600443371
kilwinning,55.65,-4.71,69.8,52,20,10.29,GB,1600443372
riyadh,24.69,46.72,98.6,13,0,4.7,SA,1600443372
vila franca do campo,37.72,-25.43,71.6,68,40,14.99,PT,1600443372
saint george,37.1,-113.58,75.99,18,1,5.12,US,1600443250
luderitz,-26.65,15.16,65.8,56,0,23.85,,1600443373
catalina,32.51,-110.92,84.99,21,0,4.88,US,1600443373
ploemeur,47.73,-3.43,70.0,77,100,8.05,FR,1600443373
djambala,-2.54,14.75,77.07,77,87,6.02,CG,1600443322
chaumont,48.12,5.13,86.0,35,18,1.99,FR,1600443373
namibe,-15.2,12.15,66.72,69,6,12.57,AO,1600443374
jalu,29.03,21.55,92.39,23,0,8.63,LY,1600443374
camacha,33.08,-16.33,77.0,57,20,16.11,PT,1600443374
bubaque,11.28,-15.83,80.35,85,97,14.16,GW,1600443375
maceio,-9.67,-35.74,80.6,65,75,11.41,BR,1600443188
quebo,11.33,-14.93,84.45,80,81,4.41,GW,1600443375
padang,-0.95,100.35,79.9,76,100,2.26,ID,1600443375
